id,time,NR_DU_cell,down_RLC_throughput(bps),up_RLC_throughput(bps),down_MAC_throughput(bps),up_MAC_throughput(bps),base_id,cell_id,phy_cell_id,RSRP(dBm),RSRQ(dB),class
1,1679494689,1,0,5912,6264,221616,1,1,3,-75,-10,0
2,1679494690,1,0,7784,15464,963040,1,1,3,-75,-10,0
3,1679494691,1,0,5912,6008,414168,1,1,3,-77,-10,0
4,1679494692,1,0,8344,16448,486888,1,1,3,-75,-10,0
5,1679494693,1,0,4304,6816,340008,1,1,3,-75,-10,0
6,1679494694,1,0,7288,13080,779632,1,1,3,-75,-10,0
7,1679494695,1,0,3760,4728,465736,1,1,3,-75,-10,0
8,1679494696,1,0,6064,10992,423456,1,1,3,-76,-10,0
9,1679494697,1,0,3760,7456,295176,1,1,3,-75,-10,0
10,1679494698,1,0,5512,10992,712696,1,1,3,-75,-10,0
11,1679494699,1,0,3760,2640,386368,1,1,3,-75,-10,0
12,1679494700,1,0,6216,17088,358608,1,1,3,-75,-10,0
13,1679494701,1,0,3232,6816,234144,1,1,3,-75,-10,0
14,1679494702,1,0,6744,13720,320832,1,1,3,-76,-10,0
15,1679494703,1,0,2144,4728,199032,1,1,3,-76,-10,0
16,1679494704,1,0,6744,13080,320832,1,1,3,-130,-20,0
17,1679494705,1,0,2144,4728,234408,1,1,3,-130,-20,0
18,1679494706,1,0,6088,10992,320832,1,1,3,-76,-10,0
19,1679494707,1,0,2144,4728,240624,1,1,3,-76,-10,0
20,1679494708,1,0,5672,10992,320832,1,1,3,-76,-10,0
21,1679494709,1,0,2144,4728,276000,1,1,3,-76,-10,0
22,1679494710,1,0,4088,6816,269520,1,1,3,-76,-10,0
23,1679494711,1,0,1056,2640,308136,1,1,3,-76,-10,0
24,1679494712,1,0,4744,10992,269520,1,1,3,-77,-10,0
25,1679494713,1,0,1056,2640,346224,1,1,3,-76,-10,0
26,1679494714,1,0,4744,6472,279240,1,1,3,-77,-10,0
27,1679494715,1,0,1624,3512,346224,1,1,3,-76,-10,0
28,1679494716,1,0,3624,4992,294912,1,1,3,-77,-10,0
29,1679494717,1,0,568,2032,317856,1,1,3,-77,-10,0
30,1679494718,1,0,3624,4992,333528,1,1,3,-77,-10,0
31,1679494719,1,0,568,2032,307872,1,1,3,-77,-10,0
32,1679494720,1,0,3560,4992,538512,1,1,3,-76,-10,0
