消息序号,采集时间,NR DU小区标识,下行RLC总吞吐率(bps),上行RLC总吞吐率(bps),下行MAC总吞吐率(bps),上行MAC总吞吐率(bps),运营商索引
1,2023-03-22 22:18:09 (963),1,0,5912,6264,221616,0
2,2023-03-22 22:18:10 (963),1,0,7784,15464,963040,0
3,2023-03-22 22:18:11 (963),1,0,5912,6008,414168,0
4,2023-03-22 22:18:12 (984),1,0,8344,16448,486888,0
5,2023-03-22 22:18:13 (983),1,0,4304,6816,340008,0
6,2023-03-22 22:18:14 (983),1,0,7288,13080,779632,0
7,2023-03-22 22:18:15 (963),1,0,3760,4728,465736,0
8,2023-03-22 22:18:16 (963),1,0,6064,10992,423456,0
9,2023-03-22 22:18:17 (963),1,0,3760,7456,295176,0
10,2023-03-22 22:18:18 (963),1,0,5512,10992,712696,0
11,2023-03-22 22:18:19 (963),1,0,3760,2640,386368,0
12,2023-03-22 22:18:20 (983),1,0,6216,17088,358608,0
13,2023-03-22 22:18:21 (963),1,0,3232,6816,234144,0
14,2023-03-22 22:18:22 (963),1,0,6744,13720,320832,0
15,2023-03-22 22:18:23 (963),1,0,2144,4728,199032,0
16,2023-03-22 22:18:24 (963),1,0,6744,13080,320832,0
17,2023-03-22 22:18:25 (963),1,0,2144,4728,234408,0
18,2023-03-22 22:18:26 (963),1,0,6088,10992,320832,0
19,2023-03-22 22:18:27 (963),1,0,2144,4728,240624,0
20,2023-03-22 22:18:28 (963),1,0,5672,10992,320832,0
21,2023-03-22 22:18:29 (983),1,0,2144,4728,276000,0
22,2023-03-22 22:18:30 (963),1,0,4088,6816,269520,0
23,2023-03-22 22:18:31 (963),1,0,1056,2640,308136,0
24,2023-03-22 22:18:32 (983),1,0,4744,10992,269520,0
25,2023-03-22 22:18:33 (963),1,0,1056,2640,346224,0
26,2023-03-22 22:18:34 (963),1,0,4744,6472,279240,0
27,2023-03-22 22:18:35 (983),1,0,1624,3512,346224,0
28,2023-03-22 22:18:36 (963),1,0,3624,4992,294912,0
29,2023-03-22 22:18:37 (963),1,0,568,2032,317856,0
30,2023-03-22 22:18:38 (963),1,0,3624,4992,333528,0
31,2023-03-22 22:18:39 (963),1,0,568,2032,307872,0
32,2023-03-22 22:18:40 (983),1,0,3560,4992,538512,0
33,2023-03-22 22:18:41 (963),1,0,568,2032,311112,0
34,2023-03-22 22:18:42 (963),1,0,3560,6472,551472,0
35,2023-03-22 22:18:43 (963),1,0,1792,2960,343248,0
36,2023-03-22 22:18:44 (963),1,0,2456,7024,526080,0
37,2023-03-22 22:18:45 (963),1,0,1792,3512,349728,0
38,2023-03-22 22:18:46 (963),1,0,2992,7952,622752,0
39,2023-03-22 22:18:47 (963),1,0,2320,6472,639480,0
40,2023-03-22 22:18:48 (963),1,0,4664,9432,1063704,0
41,2023-03-22 22:18:49 (963),1,0,2864,7752,1039872,0
42,2023-03-22 22:18:50 (963),1,0,5216,10912,538776,0
43,2023-03-22 22:18:51 (964),1,0,2208,3512,471528,0
44,2023-03-22 22:18:52 (963),1,0,5216,9432,500424,0
45,2023-03-22 22:18:53 (983),1,0,2208,3512,413736,0
46,2023-03-22 22:18:54 (963),1,0,5216,9432,500424,0
47,2023-03-22 22:18:55 (963),1,0,2208,3512,391320,0
48,2023-03-22 22:18:56 (983),1,0,5216,9432,487464,0
49,2023-03-22 22:18:57 (963),1,0,2208,3512,356208,0
50,2023-03-22 22:18:58 (963),1,0,5216,9432,487464,0
51,2023-03-22 22:18:59 (983),1,0,2208,3512,314880,0
52,2023-03-22 22:19:00 (963),1,0,5976,7952,461808,0
53,2023-03-22 22:19:01 (963),1,0,2208,3512,337032,0
54,2023-03-22 22:19:02 (963),1,0,5976,9432,487464,0
55,2023-03-22 22:19:03 (963),1,0,2208,3512,340272,0
56,2023-03-22 22:19:04 (982),1,0,6568,7952,487464,0
57,2023-03-22 22:19:05 (963),1,0,2208,4992,365928,0
58,2023-03-22 22:19:06 (963),1,0,6568,7952,487464,0
59,2023-03-22 22:19:07 (983),1,0,2208,4992,365928,0
60,2023-03-22 22:19:08 (983),1,0,7224,7952,487464,0
61,2023-03-22 22:19:09 (963),1,0,2208,4992,629352,0
62,2023-03-22 22:19:10 (963),1,0,7224,7952,744936,0
63,2023-03-22 22:19:11 (963),1,0,2208,4992,430200,0
64,2023-03-22 22:19:12 (963),1,0,6632,7952,382392,0
65,2023-03-22 22:19:13 (963),1,0,2208,4992,423720,0
66,2023-03-22 22:19:14 (983),1,0,7184,7952,458832,0
67,2023-03-22 22:19:15 (983),1,0,2208,3512,429672,0
68,2023-03-22 22:19:16 (963),1,0,5872,7952,468288,0
69,2023-03-22 22:19:17 (983),1,0,2760,4992,596568,0
70,2023-03-22 22:19:18 (983),1,0,5336,7952,503664,0
71,2023-03-22 22:19:19 (963),1,0,2232,6472,615744,0
72,2023-03-22 22:19:20 (963),1,0,3664,7952,574416,0
73,2023-03-22 22:19:21 (963),1,0,1688,3512,439392,0
74,2023-03-22 22:19:22 (963),1,0,3664,7952,603048,0
75,2023-03-22 22:19:23 (963),1,0,2368,19920,499560,0
76,2023-03-22 22:19:24 (963),1,0,4072,14512,1702440,0
77,2023-03-22 22:19:25 (963),1,0,1136,2032,330288,0
78,2023-03-22 22:19:26 (963),1,0,3008,7952,612504,0
79,2023-03-22 22:19:27 (963),1,0,1136,2032,365400,0
80,2023-03-22 22:19:28 (983),1,0,3600,7952,590088,0
81,2023-03-22 22:19:29 (963),1,0,1688,3512,436416,0
82,2023-03-22 22:19:30 (963),1,0,3600,7952,539040,0
83,2023-03-22 22:19:31 (963),1,0,1120,3512,459624,0
84,2023-03-22 22:19:32 (963),1,0,3600,6472,729576,0
85,2023-03-22 22:19:33 (963),1,0,1120,4616,439080,0
86,2023-03-22 22:19:34 (963),1,0,3600,6472,569256,0
87,2023-03-22 22:19:35 (963),1,0,1120,3512,632952,0
88,2023-03-22 22:19:36 (983),1,0,3008,6472,391320,0
89,2023-03-22 22:19:37 (983),1,0,2824,6472,583608,0
90,2023-03-22 22:19:38 (983),1,0,3008,6472,375648,0
91,2023-03-22 22:19:39 (963),1,0,2256,4992,426960,0
92,2023-03-22 22:19:40 (963),1,0,4992,9432,638808,0
93,2023-03-22 22:19:41 (963),1,0,2256,4992,423192,0
94,2023-03-22 22:19:42 (963),1,0,4992,9432,551472,0
95,2023-03-22 22:19:43 (963),1,0,2936,6472,557952,0
96,2023-03-22 22:19:44 (963),1,440,6600,15000,627864,0
97,2023-03-22 22:19:45 (963),1,0,3712,7952,593328,0
98,2023-03-22 22:19:46 (963),1,0,3848,6472,549024,0
99,2023-03-22 22:19:47 (963),1,0,3272,6472,596304,0
100,2023-03-22 22:19:48 (963),1,0,7024,7952,603576,0
101,2023-03-22 22:19:49 (963),1,0,3360,6680,928296,0
102,2023-03-22 22:19:50 (963),1,0,7552,9432,632208,0
103,2023-03-22 22:19:51 (963),1,0,5024,9432,612504,0
104,2023-03-22 22:19:52 (963),1,0,7552,10912,609528,0
105,2023-03-22 22:19:53 (983),1,0,4584,6472,906456,0
106,2023-03-22 22:19:54 (963),1,0,7000,7952,523368,0
107,2023-03-22 22:19:55 (983),1,0,4584,7952,564432,0
108,2023-03-22 22:19:56 (983),1,0,6264,9432,500688,0
109,2023-03-22 22:19:57 (963),1,0,4584,7952,661632,0
110,2023-03-22 22:19:58 (963),1,0,6704,9432,567672,0
111,2023-03-22 22:19:59 (963),1,0,5240,9432,532560,0
112,2023-03-22 22:20:00 (983),1,0,6264,7952,503664,0
113,2023-03-22 22:20:01 (963),1,0,4632,9432,552264,0
114,2023-03-22 22:20:02 (963),1,0,6768,9432,596568,0
115,2023-03-22 22:20:03 (963),1,0,4632,9432,570912,0
116,2023-03-22 22:20:04 (963),1,0,3512,9432,645168,0
117,2023-03-22 22:20:05 (963),1,0,5176,10360,570912,0
118,2023-03-22 22:20:06 (963),1,0,3512,9432,586848,0
119,2023-03-22 22:20:07 (963),1,0,4520,9432,574152,0
120,2023-03-22 22:20:08 (963),1,696,4208,12392,589512,0
121,2023-03-22 22:20:09 (963),1,696,4720,12392,576816,0
122,2023-03-22 22:20:10 (963),1,696,5216,12040,892032,0
123,2023-03-22 22:20:11 (963),1,696,9736,18512,636120,0
124,2023-03-22 22:20:12 (963),1,0,6488,10912,561720,0
125,2023-03-22 22:20:13 (963),1,0,9984,18864,639672,0
126,2023-03-22 22:20:14 (963),1,0,6488,9432,513120,0
127,2023-03-22 22:20:15 (983),1,0,8864,15904,639672,0
128,2023-03-22 22:20:16 (963),1,0,6488,9432,478272,0
129,2023-03-22 22:20:17 (963),1,0,8864,15904,616680,0
130,2023-03-22 22:20:18 (983),1,0,6488,9432,458832,0
131,2023-03-22 22:20:19 (963),1,0,8864,15904,939480,0
132,2023-03-22 22:20:20 (983),1,0,3944,9432,500952,0
133,2023-03-22 22:20:21 (963),1,0,10176,19792,625056,0
134,2023-03-22 22:20:22 (963),1,0,3416,6472,388344,0
135,2023-03-22 22:20:23 (963),1,0,8952,16832,628704,0
136,2023-03-22 22:20:24 (963),1,0,3416,7952,330552,0
137,2023-03-22 22:20:25 (963),1,0,8952,16832,641664,0
138,2023-03-22 22:20:26 (963),1,0,3416,6120,298416,0
139,2023-03-22 22:20:27 (963),1,0,8232,13872,928920,0
140,2023-03-22 22:20:28 (963),1,0,4032,8039,250344,0
141,2023-03-22 22:20:29 (963),1,0,8232,36016,1019736,0
142,2023-03-22 22:20:30 (963),1,0,4032,11464,285720,0
143,2023-03-22 22:20:31 (963),1,0,9448,30560,754800,0
144,2023-03-22 22:20:32 (963),1,0,4032,11464,343248,0
145,2023-03-22 22:20:33 (963),1,0,8952,27832,628440,0
146,2023-03-22 22:20:34 (963),1,0,3024,11464,356208,0
147,2023-03-22 22:20:35 (963),1,0,10600,30560,622224,0
148,2023-03-22 22:20:36 (963),1,0,2240,14192,576192,0
149,2023-03-22 22:20:37 (963),1,0,10024,28640,760968,0
150,2023-03-22 22:20:38 (964),1,0,2784,14192,513120,0
151,2023-03-22 22:20:39 (963),1,0,9928,27832,624960,0
152,2023-03-22 22:20:40 (983),1,0,2784,12824,458832,0
153,2023-03-22 22:20:41 (983),1,0,10456,28224,624720,0
154,2023-03-22 22:20:42 (963),1,0,3224,15640,533352,0
155,2023-03-22 22:20:43 (963),1,0,9536,28000,615744,0
156,2023-03-22 22:20:44 (963),1,0,2888,11464,475296,0
157,2023-03-22 22:20:45 (963),1,0,10064,27192,606288,0
158,2023-03-22 22:20:46 (963),1,0,3536,14192,551736,0
159,2023-03-22 22:20:47 (963),1,0,10064,32095,641400,0
160,2023-03-22 22:20:48 (983),1,0,3536,14192,583872,0
161,2023-03-22 22:20:49 (983),1,0,10600,27832,641400,0
162,2023-03-22 22:20:50 (963),1,0,3032,13552,626784,0
163,2023-03-22 22:20:51 (963),1,0,10600,30560,641400,0
164,2023-03-22 22:20:52 (963),1,0,6248,29920,1104984,0
165,2023-03-22 22:20:53 (963),1,0,11448,28384,895248,0
166,2023-03-22 22:20:54 (963),1,0,2376,11464,539040,0
167,2023-03-22 22:20:55 (983),1,0,9896,25104,641400,0
168,2023-03-22 22:20:56 (963),1,0,2376,13552,561456,0
169,2023-03-22 22:20:57 (963),1,0,9368,24464,962208,0
170,2023-03-22 22:20:58 (963),1,0,2376,11464,626520,0
171,2023-03-22 22:20:59 (963),1,0,9872,22376,590088,0
172,2023-03-22 22:21:00 (963),1,0,2376,10824,465048,0
173,2023-03-22 22:21:01 (963),1,0,9872,15640,577128,0
174,2023-03-22 22:21:02 (963),1,0,2376,8904,474768,0
175,2023-03-22 22:21:03 (983),1,0,9864,15808,576864,0
176,2023-03-22 22:21:04 (963),1,0,2376,9840,506640,0
177,2023-03-22 22:21:05 (963),1,0,11072,22376,577128,0
178,2023-03-22 22:21:06 (963),1,0,2376,8736,778224,0
179,2023-03-22 22:21:07 (963),1,0,10008,19648,599808,0
