消息序号,来源,采集时间,基站标识,小区标识,服务小区物理小区标识,物理小区标识,RSRP(dBm),RSRQ(dB)
1,5G基站,2023-03-22 22:18:09 (629),1,1,3,3,-75,-10
2,5G基站,2023-03-22 22:18:10 (669),1,1,3,3,-75,-10
3,5G基站,2023-03-22 22:18:11 (690),1,1,3,3,-77,-10
4,5G基站,2023-03-22 22:18:12 (709),1,1,3,3,-75,-10
5,5G基站,2023-03-22 22:18:13 (749),1,1,3,3,-75,-10
6,5G基站,2023-03-22 22:18:14 (770),1,1,3,3,-75,-10
7,5G基站,2023-03-22 22:18:15 (790),1,1,3,3,-75,-10
8,5G基站,2023-03-22 22:18:16 (810),1,1,3,3,-76,-10
9,5G基站,2023-03-22 22:18:17 (849),1,1,3,3,-75,-10
10,5G基站,2023-03-22 22:18:18 (869),1,1,3,3,-75,-10
11,5G基站,2023-03-22 22:18:19 (889),1,1,3,3,-75,-10
12,5G基站,2023-03-22 22:18:20 (910),1,1,3,3,-75,-10
13,5G基站,2023-03-22 22:18:21 (949),1,1,3,3,-75,-10
14,5G基站,2023-03-22 22:18:22 (954),1,1,3,3,-76,-10
15,5G基站,2023-03-22 22:18:23 (980),1,1,3,3,-76,-10
16,5G基站,2023-03-22 22:18:25 (4),1,1,3,3,-76,-10
17,5G基站,2023-03-22 22:18:26 (29),1,1,3,3,-76,-10
18,5G基站,2023-03-22 22:18:27 (55),1,1,3,3,-76,-10
19,5G基站,2023-03-22 22:18:28 (80),1,1,3,3,-76,-10
20,5G基站,2023-03-22 22:18:29 (104),1,1,3,3,-76,-10
21,5G基站,2023-03-22 22:18:30 (130),1,1,3,3,-76,-10
22,5G基站,2023-03-22 22:18:31 (154),1,1,3,3,-76,-10
23,5G基站,2023-03-22 22:18:32 (179),1,1,3,3,-77,-10
24,5G基站,2023-03-22 22:18:33 (204),1,1,3,3,-76,-10
25,5G基站,2023-03-22 22:18:34 (230),1,1,3,3,-77,-10
26,5G基站,2023-03-22 22:18:35 (255),1,1,3,3,-76,-10
