消息序号,采集时间,NR DU小区标识,下行RLC总吞吐率(bps),上行RLC总吞吐率(bps),下行MAC总吞吐率(bps),上行MAC总吞吐率(bps)
1,2023-04-06 20:39:50 (300),1,0,0,552,166632
2,2023-04-06 20:39:51 (300),1,0,1592,6472,397536
3,2023-04-06 20:39:52 (300),1,0,0,552,166896
4,2023-04-06 20:39:53 (300),1,0,1592,3512,375120
5,2023-04-06 20:39:54 (300),1,0,0,552,166896
6,2023-04-06 20:39:55 (300),1,0,1592,2024,333792
7,2023-04-06 20:39:56 (300),1,0,0,552,166632
8,2023-04-06 20:39:57 (300),1,0,1592,2760,649320
9,2023-04-06 20:39:58 (300),1,0,0,552,166632
10,2023-04-06 20:39:59 (300),1,0,1088,2024,263304
11,2023-04-06 20:40:00 (300),1,696,696,2352,336192
12,2023-04-06 20:40:01 (300),1,696,1784,6008,431760
13,2023-04-06 20:40:02 (300),1,696,696,2768,332952
14,2023-04-06 20:40:03 (300),1,696,1784,4240,422880
15,2023-04-06 20:40:04 (300),1,696,696,2768,332952
16,2023-04-06 20:40:05 (300),1,696,1240,3504,403440
17,2023-04-06 20:40:06 (300),1,696,696,2768,332688
18,2023-04-06 20:40:07 (300),1,696,1240,3504,375120
19,2023-04-06 20:40:08 (300),1,696,696,2768,332952
20,2023-04-06 20:40:09 (300),1,696,1240,2768,332688
21,2023-04-06 20:40:10 (300),1,696,696,2768,333528
22,2023-04-06 20:40:11 (300),1,696,1240,3824,374544
23,2023-04-06 20:40:12 (300),1,696,696,2768,332688
24,2023-04-06 20:40:13 (300),1,696,1240,3824,413160
25,2023-04-06 20:40:14 (300),1,696,696,2768,307296
26,2023-04-06 20:40:15 (300),1,696,1240,3824,442056
27,2023-04-06 20:40:16 (300),1,696,696,2768,472800
28,2023-04-06 20:40:17 (301),1,696,1240,3088,535752
29,2023-04-06 20:40:18 (300),1,696,696,2768,324024
30,2023-04-06 20:40:19 (300),1,696,1240,3504,416400
31,2023-04-06 20:40:20 (300),1,696,696,2768,240048
32,2023-04-06 20:40:21 (290),1,696,1936,27304,702104
33,2023-04-06 20:40:22 (301),1,696,696,2768,220608
34,2023-04-06 20:40:23 (300),1,696,1240,3504,378048
35,2023-04-06 20:40:24 (300),1,696,696,1800,201432
36,2023-04-06 20:40:25 (300),1,696,1240,3088,358608
37,2023-04-06 20:40:26 (300),1,0,0,2576,252504
38,2023-04-06 20:40:27 (300),1,696,1240,3504,564816
39,2023-04-06 20:40:28 (300),1,696,696,2768,314256
40,2023-04-06 20:40:29 (300),1,696,696,3320,179592
41,2023-04-06 20:40:30 (300),1,696,696,2768,258959
